k, Pre-Sorter, Partial Sorter, Simple Quick Sorter, Skewed Quick Sorter, Heap Sorter
8, 1083.18, 7.8649, 53.6251, 6.19743, 120.604
16, 1083.18, 7.86566, 53.6259, 6.19819, 120.608
32, 1083.18, 7.86566, 53.6263, 6.19819, 120.616
64, 1083.18, 7.86566, 53.627, 6.19857, 120.628
128, 1083.18, 15.5341, 53.6305, 6.20123, 120.656
256, 1083.18, 15.5348, 53.6377, 6.20617, 120.709
512, 1083.18, 23.1146, 53.646, 6.21415, 120.81
1024, 1083.18, 31.8237, 53.6704, 6.23734, 121.003
2048, 1083.18, 41.0193, 53.7103, 6.3947, 121.375
4096, 1083.18, 52.1542, 54.2732, 6.48554, 122.072
8192, 1083.19, 68.4948, 54.7213, 6.84245, 123.357
16384, 1083.19, 93.337, 55.2367, 7.52472, 125.875
32768, 1083.22, 135.449, 56.2064, 8.93866, 131.156
65536, 1083.24, 202.845, 57.8833, 11.1668, 143.398
131072, 1083.28, 308.542, 65.7102, 24.4606, 163.942
262144, 1083.36, 496.541, 74.766, 34.4201, 205.644
524288, 1083.48, 832.594, 92.7102, 53.3226, 285.62
1048576, 1083.71, 1459.07, 142.352, 110.043, 448.69
2097152,1084, 2387.17, 219.68, 216.516, 777.519
4194304, 1084.61, 3569.34, 428.108, 421.007, 1457.27
8388608, 1085.75, 4102.78, 796.165, 792.765, 2627.77
10000000, 1086.14, 4105.16, 919.948, 927.276, 2874.77
