k, Partial Sorter, Pre-Sorter, Simple Quick Sorter, Skewed Quick Sorter
8, 7.8649, 1083.18, 53.6251, 6.19743
16, 7.86566, 1083.18, 53.6259, 6.19819
32, 7.86566, 1083.18, 53.6263, 6.19819
64, 7.86566, 1083.18, 53.627, 6.19857
128, 15.5341, 1083.18, 53.6305, 6.20123
256, 15.5348, 1083.18, 53.6377, 6.20617
512, 23.1146, 1083.18, 53.646, 6.21415
1024, 31.8237, 1083.18, 53.6704, 6.23734
2048, 41.0193, 1083.18, 53.7103, 6.3947
4096, 52.1542, 1083.18, 54.2732, 6.48554
8192, 68.4948, 1083.19, 54.7213, 6.84245
16384, 93.337, 1083.19, 55.2367, 7.52472
32768, 135.449, 1083.22, 56.2064, 8.93866
65536, 202.845, 1083.24, 57.8833, 11.1668
131072, 308.542, 1083.28, 65.7102, 24.4606
262144, 496.541, 1083.36, 74.766, 34.4201
524288, 832.594, 1083.48, 92.7102, 53.3226
1048576, 1459.07, 1083.71, 142.352, 110.043
2097152, 2387.17,1084, 219.68, 216.516
4194304, 3569.34, 1084.61, 428.108, 421.007
8388608, 4102.78, 1085.75, 796.165, 792.765
10000000, 4105.16, 1086.14, 919.948, 927.276
